customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
SR38658,Arizona,F,High School or Below,1223188,43244,103,0,Personal Auto,Luxury,494
YD87931,Washington,M,Doctor,495166,46896,35354,1,Personal Auto,Four-Door Car,32
HG65722,Oregon,F,Doctor,1281910,10105,172,3,Personal Auto,SUV,1
BU27331,Arizona,F,Bachelor,446851,0,73,3,Personal Auto,Four-Door Car,579
XM45289,Oregon,F,High School or Below,551434,23218,71,0,Personal Auto,Two-Door Car,448
KP34198,California,F,Bachelor,334388,0,92,0,Corporate Auto,Four-Door Car,530
SH90947,Arizona,F,High School or Below,229448,0,62,0,Personal Auto,Four-Door Car,313
WE95729,Oregon,F,College,3670743,24804,104,0,Personal Auto,SUV,594
PY51963,California,F,Bachelor,3347335,33190,106,0,Corporate Auto,SUV,509
RB69909,Nevada,F,High School or Below,798343,36014,69,3,Special Auto,Four-Door Car,174
NW21079,Washington,F,Master,487938,67163,61,2,Personal Auto,Two-Door Car,33
FR46645,California,F,Bachelor,429400,16701,113,0,Personal Auto,Four-Door Car,832
SY17488,Arizona,F,College,716440,46623,91,0,Corporate Auto,Four-Door Car,437
AP67935,California,F,College,761952,64749,64,0,Special Auto,Four-Door Car,303
FS37417,Arizona,F,High School or Below,395800,0,101,0,Personal Auto,SUV,485
ML29312,Oregon,F,High School or Below,449949,16969,124,2,Personal Auto,SUV,705
UB61619,Oregon,F,Master,405957,11621,108,0,Personal Auto,Four-Door Car,518
CD86811,Arizona,F,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312
RU83859,California,F,Bachelor,811033,11489,105,0,Personal Auto,Two-Door Car,504
FG63582,Oregon,F,Bachelor,333976,0,94,0,Personal Auto,Two-Door Car,863
NN71951,California,F,High School or Below,2426102,66525,100,0,Personal Auto,SUV,104
WB37082,Arizona,F,Bachelor,661397,0,63,0,Personal Auto,Four-Door Car,676
SM52139,Washington,F,College,293069,33663,73,0,Personal Auto,Four-Door Car,350
FL82372,Oregon,F,College,867219,22547,112,0,Corporate Auto,SUV,538
DP45816,Arizona,F,High School or Below,1163867,61486,97,0,Personal Auto,Two-Door Car,465
GW33762,Oregon,F,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456
RZ33670,California,F,College,1172778,29879,102,0,Personal Auto,Four-Door Car,500
PY70169,Oregon,F,High School or Below,2264383,93011,113,0,Personal Auto,SUV,281
MO91628,Oregon,F,Master,261447,65186,65,0,Personal Auto,Two-Door Car,5
HW87852,Oregon,F,Master,245175,26840,64,2,Personal Auto,Four-Door Car,307
HB20453,Oregon,F,Bachelor,678127,0,104,1,Personal Auto,Luxury,982
BN87372,Oregon,F,Bachelor,497480,75644,65,3,Personal Auto,Two-Door Car,468
YX23800,Oregon,F,Bachelor,859160,38984,73,0,Personal Auto,Four-Door Car,350
DZ87709,Oregon,F,High School or Below,559216,71811,71,0,Personal Auto,Four-Door Car,29
XW13033,Nevada,F,College,800947,20961,67,0,Personal Auto,Four-Door Car,322
SP81997,Washington,F,Master,588174,41275,96,0,Personal Auto,Four-Door Car,41
OM82309,California,F,Bachelor,5816655,61321,186,1,Personal Auto,Luxury,428
ZU35962,California,F,College,802523,0,77,0,Personal Auto,Two-Door Car,26
VH85817,California,F,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,788
DT85712,California,F,Doctor,411854,34378,102,0,Personal Auto,SUV,490
YJ88573,Nevada,F,Master,252307,43072,63,0,Personal Auto,Four-Door Car,302
SQ19467,Oregon,F,College,655422,25222,90,0,Personal Auto,Four-Door Car,476
YB66933,Washington,F,Bachelor,538275,77552,68,1,Corporate Auto,Four-Door Car,45
ET79815,California,F,College,592673,23091,96,5,Personal Auto,Four-Door Car,461
QC35222,California,F,Bachelor,268347,48269,69,3,Corporate Auto,Four-Door Car,282
CJ15590,Oregon,F,Bachelor,269518,32720,67,0,Personal Auto,Four-Door Car,322
OI48267,California,F,College,604703,20396,76,1,Personal Auto,Four-Door Car,365
JY67916,Oregon,F,College,1317101,21513,119,1,Personal Auto,Two-Door Car,680
OW15518,Washington,F,College,1595002,0,87,1,Personal Auto,Two-Door Car,46
CZ33664,Oregon,F,Bachelor,252765,80744,63,0,Corporate Auto,Four-Door Car,12
WK30175,Oregon,F,Bachelor,267210,52822,67,0,Corporate Auto,Two-Door Car,351
ON44465,California,F,High School or Below,531329,0,77,1,Personal Auto,Four-Door Car,863
TV87155,Oregon,F,Bachelor,2094619,69738,74,1,Personal Auto,Four-Door Car,492
KH48895,Arizona,F,Master,837535,17780,109,0,Personal Auto,SUV,133
NZ30757,California,F,Bachelor,480166,18107,62,0,Personal Auto,Four-Door Car,298
RI22468,Arizona,F,Bachelor,574594,57740,74,3,Personal Auto,Four-Door Car,270
FZ30935,Oregon,F,College,606612,32627,76,0,Personal Auto,Two-Door Car,380
UG93476,California,F,College,800231,0,107,0,Personal Auto,SUV,514
AB96670,California,F,College,239392,0,70,0,Personal Auto,Four-Door Car,425
XK64261,Oregon,F,Bachelor,476282,65795,62,1,Corporate Auto,Two-Door Car,49
EV68375,California,F,College,433039,60475,107,0,Personal Auto,Four-Door Car,514
UN51653,California,F,High School or Below,940273,0,130,0,Personal Auto,SUV,936
TO96662,Oregon,F,Bachelor,696669,41837,88,0,Personal Auto,Four-Door Car,142
MR52087,California,F,Bachelor,769406,32303,65,0,Personal Auto,Four-Door Car,45
DE75225,Oregon,F,High School or Below,871756,0,117,1,Personal Auto,SUV,562
EP80820,California,F,Bachelor,592875,40531,74,0,Personal Auto,Two-Door Car,31
GU99037,Oregon,F,College,245298,79898,62,1,Corporate Auto,Four-Door Car,272
WI57118,California,F,College,670157,56398,85,0,Personal Auto,Four-Door Car,408
GP39118,Washington,M,High School or Below,499655,71600,63,0,Personal Auto,Two-Door Car,46
MQ14219,Arizona,F,College,849270,27804,109,0,Personal Auto,SUV,785
KN20603,Oregon,F,Bachelor,771349,45506,66,2,Personal Auto,Four-Door Car,317
SG20925,Washington,F,Master,518580,99428,6464,1,Personal Auto,Four-Door Car,48
JI70886,California,F,High School or Below,729007,0,102,1,Corporate Auto,SUV,490
VF72557,Oregon,F,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
OX28638,Arizona,F,High School or Below,680649,37839,86,0,Personal Auto,Two-Door Car,466
SK55033,California,F,Bachelor,246978,92711,62,0,Personal Auto,Two-Door Car,368
OO88645,California,F,College,310392,74665,78,2,Corporate Auto,Four-Door Car,237
FM14335,Washington,F,College,1048492,61108,89,0,Personal Auto,Four-Door Car,49
CW82151,California,F,Bachelor,890274,46833,112,0,Personal Auto,Luxury,64
DY22043,Oregon,F,High School or Below,549945,88768,68,0,Personal Auto,Two-Door Car,326
SH36774,California,F,High School or Below,1502360,28262,192,0,Personal Auto,Luxury,922
EM43724,Nevada,F,Bachelor,250911,33555,63,0,Personal Auto,Four-Door Car,102
FH85960,Oregon,F,College,3122175,42780,113,1,Personal Auto,Four-Door Car,542
XA55993,Oregon,F,Master,313350,58850,78,0,Personal Auto,Four-Door Car,144
GO36627,Arizona,F,College,383745,21880,97,0,Special Auto,Four-Door Car,424
QH48047,Oregon,F,College,1179050,25251,66,0,Personal Auto,Four-Door Car,317
HS28694,Washington,F,High School or Below,282986,25317,71,0,Personal Auto,Two-Door Car,50
UH65059,Arizona,F,High School or Below,430581,24188,109,0,Personal Auto,Luxury,523
FV21968,Nevada,F,Bachelor,597398,41611,74,0,Special Auto,Four-Door Car,114
QA87025,Oregon,F,Bachelor,567044,28406,72,1,Personal Auto,Four-Door Car,193
TQ13499,Arizona,F,College,473175,69833,118,0,Personal Auto,Four-Door Car,829
BU44523,Arizona,F,High School or Below,802638,0,74,0,Corporate Auto,Four-Door Car,533
MS41162,Arizona,F,High School or Below,402296,0,117,0,Personal Auto,SUV,975
PU25891,Oregon,F,High School or Below,961831,80536,119,0,Special Auto,Luxury,54
LH92841,Washington,F,Bachelor,725595,88891,89,0,Personal Auto,Four-Door Car,51
SX26335,Oregon,F,College,955293,97732,79,0,Personal Auto,Four-Door Car,290
AZ95587,Arizona,F,Bachelor,1038855,61222,89,0,Special Auto,Four-Door Car,393
DS81757,Oregon,M,College,247012,0,74,0,Personal Auto,Two-Door Car,721
OJ94107,Arizona,M,Master,561907,50335,140,0,Personal Auto,SUV,457
LP84436,California,F,High School or Below,904712,0,127,0,Personal Auto,Luxury,1088
FF22360,Washington,F,Doctor,268731,82210,68,4,Personal Auto,Four-Door Car,52
LM19287,Oregon,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,461
ZU18643,Nevada,M,Bachelor,366077,64495,92,0,Corporate Auto,Four-Door Car,252
AZ82578,California,F,College,792883,0,72,0,Corporate Auto,Four-Door Car,346
XC67861,Arizona,F,Bachelor,501175,28859,67,3,Corporate Auto,Two-Door Car,322
YC43143,Arizona,F,High School or Below,798826,77330,99,0,Personal Auto,Four-Door Car,99
EK59571,Oregon,M,College,388546,0,105,0,Corporate Auto,Four-Door Car,504
PA38372,Washington,F,High School or Below,935774,33060,117,0,Personal Auto,Four-Door Car,57
RO18530,Washington,M,Master,254069,42557,65,0,Personal Auto,Four-Door Car,58
PD27940,Arizona,M,High School or Below,488516,26372,126,0,Personal Auto,SUV,605
BS77946,Arizona,F,Bachelor,975331,17514,127,0,Personal Auto,SUV,8
YM50253,California,F,Bachelor,294615,89270,74,0,Personal Auto,Four-Door Car,317
NR15332,California,M,High School or Below,258111,29757,65,0,Personal Auto,Four-Door Car,312
RC62865,Oregon,M,College,351739,51814,92,0,Personal Auto,Four-Door Car,56
CC15295,Oregon,F,Bachelor,974335,24028,82,0,Personal Auto,Four-Door Car,394
KA61892,Arizona,M,College,387365,28142,105,0,Personal Auto,Luxury,702
OS94884,Arizona,F,Bachelor,764928,52705,64,1,Personal Auto,Two-Door Car,129
ND87334,California,M,High School or Below,228760,0,63,0,Corporate Auto,Two-Door Car,679
OY51402,Washington,F,High School or Below,825576,54040,103,0,Personal Auto,SUV,60
YL74911,California,F,College,871492,0,118,0,Personal Auto,SUV,566
GK92563,Washington,F,Doctor,681923,22492,85,0,Personal Auto,Two-Door Car,62
HL53154,California,M,Bachelor,741620,0,77,2,Personal Auto,Four-Door Car,554
RI78966,Oregon,M,Master,777116,21876,68,0,Personal Auto,Four-Door Car,465
IC13702,California,F,Bachelor,696834,0,69,1,Personal Auto,Four-Door Car,497
BE10809,California,F,High School or Below,425028,0,61,1,Personal Auto,Four-Door Car,293
HT87217,Oregon,F,High School or Below,1977657,70699,82,0,Personal Auto,Four-Door Car,257
TH95618,California,F,High School or Below,2134347,0,74,1,Personal Auto,Four-Door Car,355
TS19868,California,M,College,241314,27501,63,0,Personal Auto,Four-Door Car,542
LP45550,Oregon,F,Doctor,1536385,15897,101,0,Personal Auto,Four-Door Car,303
QR87004,Nevada,F,College,845696,25141,73,1,Personal Auto,Four-Door Car,25
OE75747,Nevada,F,College,218964,0,61,3,Personal Auto,Four-Door Car,293
DX91392,California,M,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,788
AB72731,California,F,Bachelor,463998,28358,117,0,Personal Auto,Luxury,84
GX84338,Washington,F,Doctor,382443,62530,95,0,Personal Auto,Four-Door Car,62
IS12901,Arizona,F,Bachelor,596812,90972,74,0,Personal Auto,Two-Door Car,233
BN90616,Washington,F,Bachelor,859034,63110,72,0,Personal Auto,Four-Door Car,68
HH90090,California,F,Bachelor,407663,29549,104,0,Personal Auto,Luxury,710
IU25463,California,F,Bachelor,1225260,0,115,1,Personal Auto,Four-Door Car,552
KC11055,Nevada,F,Bachelor,1693627,39411,217,2,Personal Auto,Luxury,1123
PD33979,Oregon,M,High School or Below,489244,21709,62,0,Personal Auto,Four-Door Car,408
NK71023,Nevada,M,Bachelor,994230,67890,85,0,Personal Auto,Four-Door Car,408
AB13432,California,M,Bachelor,373584,0,110,0,Personal Auto,SUV,792
OZ97704,California,F,High School or Below,1311752,84311,111,4,Personal Auto,SUV,533
UF46533,California,F,College,457452,99316,114,0,Corporate Auto,SUV,754
XP47431,Arizona,F,Bachelor,547006,54507,138,0,Personal Auto,SUV,703
GK73582,California,F,Bachelor,297885,64586,76,0,Personal Auto,Four-Door Car,207
RV98763,Oregon,M,College,641097,61709,82,2,Personal Auto,Four-Door Car,275
II62831,California,M,Master,447902,94656,111,1,Special Auto,SUV,460
XK33449,California,F,High School or Below,238373,0,69,0,Special Auto,Two-Door Car,497
TR85083,California,M,Bachelor,276449,61085,70,1,Personal Auto,Two-Door Car,336
EO95328,Oregon,F,Bachelor,792011,89284,67,3,Personal Auto,Two-Door Car,322
EN21086,Arizona,F,High School or Below,688910,0,63,0,Personal Auto,Four-Door Car,302
YL83902,Washington,F,Bachelor,327419,31686,81,0,Personal Auto,Four-Door Car,431
AZ62651,Oregon,M,High School or Below,995171,56855,255,0,Corporate Auto,Luxury,1836
ZW25874,Oregon,M,Bachelor,252156,53703,67,2,Special Auto,Four-Door Car,68
EH41854,Washington,F,High School or Below,2370611,0,96,1,Personal Auto,Two-Door Car,844
MW70227,California,M,College,604703,20396,76,1,Personal Auto,Four-Door Car,365
SL22297,California,F,Master,1114030,27679,150,0,Personal Auto,SUV,722
RV14138,Nevada,F,Bachelor,433406,23904,123,3,Personal Auto,SUV,590
UO62808,Arizona,F,High School or Below,279975,65351,69,0,Corporate Auto,Four-Door Car,481
ZX64745,California,M,College,792314,0,113,0,Personal Auto,SUV,1124
FL34139,California,M,High School or Below,368811,0,63,3,Personal Auto,Four-Door Car,670
TS11219,California,M,College,1206746,0,116,0,Personal Auto,SUV,1284
XX12304,California,F,College,292498,64459,72,0,Personal Auto,Four-Door Car,240
SD64087,California,M,College,1501409,32961,190,0,Corporate Auto,SUV,912
OY38576,Oregon,F,High School or Below,927723,71416,116,0,Corporate Auto,SUV,557
BG76355,Washington,F,Bachelor,627412,68964,78,0,Personal Auto,Four-Door Car,115
IP66913,California,M,High School or Below,388665,78108,98,0,Personal Auto,Two-Door Car,470
LE95702,California,M,College,438628,10621,67,0,Special Auto,Four-Door Car,322
KX54357,Washington,M,College,1136527,84910,95,0,Corporate Auto,Two-Door Car,383
EZ78112,California,F,High School or Below,561096,77493,70,0,Special Auto,Four-Door Car,308
XN16891,Arizona,M,College,291289,81097,74,0,Personal Auto,Four-Door Car,355
XK31350,Oregon,F,College,691573,96610,85,0,Corporate Auto,Four-Door Car,520
CC30924,Oregon,M,College,626266,30110,159,0,Corporate Auto,Luxury,466
IT78748,Oregon,F,High School or Below,650340,22081,84,0,Special Auto,Two-Door Car,452
KY33386,Washington,F,High School or Below,800740,0,112,0,Personal Auto,Luxury,538
CO44221,California,M,College,292992,98473,72,0,Personal Auto,Four-Door Car,346
LK60013,Oregon,F,Bachelor,596955,97431,74,0,Personal Auto,Four-Door Car,355
DE21533,California,M,Bachelor,547316,93870,69,0,Personal Auto,Four-Door Car,331
YS94121,Nevada,M,High School or Below,564540,50366,72,0,Personal Auto,Four-Door Car,429
UK68427,Washington,M,High School or Below,636926,34498,83,0,Personal Auto,Two-Door Car,398
TE49565,Oregon,F,College,1183377,16552,103,0,Personal Auto,SUV,494
RA88421,Oregon,F,College,612111,26787,77,0,Personal Auto,Four-Door Car,370
KQ51983,Nevada,M,College,515937,0,74,0,Personal Auto,Two-Door Car,832
CD88896,Nevada,F,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156
YV22553,Arizona,M,High School or Below,866861,21474,114,2,Corporate Auto,SUV,373
WU14435,California,M,Bachelor,496097,18174,66,0,Corporate Auto,Four-Door Car,396
XV84099,Arizona,F,Bachelor,550414,0,73,0,Corporate Auto,Four-Door Car,350
RI24911,Arizona,M,College,750746,60920,64,0,Personal Auto,Two-Door Car,231
KO26461,Arizona,M,High School or Below,3226985,41520,90,0,Personal Auto,Four-Door Car,290
HI14283,Oregon,F,Bachelor,565703,0,152,0,Personal Auto,SUV,730
PT50227,Arizona,M,High School or Below,506176,0,68,0,Personal Auto,Two-Door Car,326
BH36570,California,M,Bachelor,591278,72208,73,0,Personal Auto,Two-Door Car,350
TX17484,California,F,Bachelor,1518228,53863,63,0,Personal Auto,Four-Door Car,106
CT41158,Washington,M,College,1074703,66446,136,0,Corporate Auto,SUV,639
AO87348,Washington,M,College,205062,0,61,0,Personal Auto,Four-Door Car,293
DE55857,Washington,F,Bachelor,246544,64997,63,1,Personal Auto,Four-Door Car,383
LF66923,Nevada,F,High School or Below,534312,64460,66,0,Corporate Auto,Two-Door Car,317
CN24514,Arizona,F,College,811983,46618,67,0,Personal Auto,Four-Door Car,99
UW32074,Oregon,F,College,460527,0,64,0,Corporate Auto,Four-Door Car,307
HP36979,California,M,College,640879,49988,84,5,Personal Auto,Two-Door Car,567
PP40919,California,F,College,237653,0,91,5,Personal Auto,Two-Door Car,437
RO73268,California,M,Bachelor,321107,16269,86,0,Corporate Auto,Two-Door Car,413
HO61691,Arizona,F,Bachelor,509452,72006,64,0,Personal Auto,Four-Door Car,307
BS13062,Arizona,F,High School or Below,2575528,0,81,2,Personal Auto,Four-Door Car,389
FO35655,Oregon,M,Bachelor,867223,0,245,0,Corporate Auto,Luxury,2345
HR10526,California,M,Master,804473,44320,67,0,Personal Auto,Four-Door Car,322
IA63417,Arizona,F,High School or Below,400152,19782,108,0,Personal Auto,Two-Door Car,773
BH35016,Nevada,F,Bachelor,1670612,63933,70,0,Personal Auto,Two-Door Car,425
PK52952,Arizona,M,Doctor,854441,28224,109,0,Personal Auto,SUV,523
OD76309,Washington,F,College,780531,21073,106,1,Personal Auto,SUV,509
IL28481,Oregon,M,Bachelor,611276,63243,77,0,Personal Auto,Four-Door Car,364
GY55092,Nevada,M,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
UF33451,Oregon,F,Bachelor,1097910,94827,135,0,Personal Auto,SUV,355
CF15558,California,F,Master,500426,39161,63,1,Personal Auto,Two-Door Car,284
JM62924,Washington,M,Bachelor,1322304,37534,84,2,Personal Auto,Four-Door Car,403
EM66435,Oregon,F,Bachelor,262332,80210,65,0,Corporate Auto,Four-Door Car,21
QX45933,California,M,Bachelor,1784020,0,62,0,Personal Auto,Four-Door Car,385
JI71369,California,F,College,510611,30110,64,0,Personal Auto,Four-Door Car,140
JU93290,Arizona,F,College,1793060,21708,68,0,Personal Auto,Four-Door Car,326
GU66096,Arizona,M,High School or Below,545734,94731,67,0,Personal Auto,Four-Door Car,322
UC33108,California,M,Bachelor,656364,32375,83,0,Personal Auto,Four-Door Car,398
LW93867,Oregon,M,College,481253,16531,63,0,Corporate Auto,Four-Door Car,103
OU78470,Arizona,F,Master,2932804,32006,94,0,Corporate Auto,Four-Door Car,57
XW90265,Arizona,F,Bachelor,577352,81676,72,0,Personal Auto,Two-Door Car,463
HS67749,California,M,College,684712,71038,86,0,Corporate Auto,Four-Door Car,205
VZ51506,Arizona,F,High School or Below,359531,0,103,0,Corporate Auto,Luxury,742
UI64281,Nevada,F,Master,2285561,20832,65,0,Personal Auto,Two-Door Car,56
AE98193,Washington,M,High School or Below,785941,0,113,0,Personal Auto,SUV,814
AZ74055,Oregon,M,High School or Below,411558,52405,103,0,Personal Auto,Four-Door Car,494
XS76911,Arizona,F,High School or Below,502964,0,133,0,Personal Auto,Luxury,796
AY40674,Washington,F,Bachelor,482142,26583,1005,4,Personal Auto,SUV,614
NA12740,Oregon,M,Master,500431,25486,65,0,Special Auto,Two-Door Car,72
UA84837,Arizona,M,College,863005,24065,111,0,Corporate Auto,Four-Door Car,533
DJ51510,Arizona,F,High School or Below,932209,70435,116,0,Personal Auto,Four-Door Car,68
VM58985,California,M,College,1672756,0,76,2,Personal Auto,Two-Door Car,403
OH60605,Oregon,F,High School or Below,365253,39679,92,0,Personal Auto,Two-Door Car,641
UO98052,Nevada,M,College,615860,0,89,0,Personal Auto,Four-Door Car,342
NC53424,California,M,Bachelor,437608,0,69,4,Personal Auto,Two-Door Car,331
LQ13873,Nevada,M,High School or Below,556946,53565,71,1,Personal Auto,Four-Door Car,341
LA97014,Washington,M,Bachelor,257651,37574,66,1,Personal Auto,Two-Door Car,412
NB79936,Washington,M,Bachelor,834698,48259,108,0,Personal Auto,Two-Door Car,74
NT89061,Arizona,F,High School or Below,632392,78532,78,0,Personal Auto,Four-Door Car,374
AF10970,Arizona,F,Bachelor,597314,96163,73,0,Corporate Auto,Four-Door Car,350
ZG48513,California,M,Bachelor,470668,0,72,0,Personal Auto,Four-Door Car,346
JQ59145,California,M,High School or Below,809341,0,114,1,Personal Auto,Luxury,722
FE84989,Washington,M,College,503574,72672,63,0,Personal Auto,Four-Door Car,259
JT52858,Oregon,F,Bachelor,902787,99002,112,1,Personal Auto,Four-Door Car,538
MC62068,California,M,High School or Below,728888,79494,91,0,Personal Auto,Four-Door Car,396
EU27538,Oregon,M,Master,1804248,35704,225,0,Personal Auto,Luxury,358
RH42306,Arizona,F,Bachelor,499206,0,71,0,Corporate Auto,Four-Door Car,653
US23612,Oregon,F,High School or Below,910227,26049,118,0,Personal Auto,Two-Door Car,121
WV76014,Arizona,M,Doctor,254041,70125,64,0,Special Auto,Four-Door Car,93
RK96223,California,M,College,1294189,52369,110,1,Personal Auto,SUV,528
MF82000,Washington,F,Bachelor,236535,0,66,2,Special Auto,Four-Door Car,160
FM46980,Arizona,M,College,572077,41770,72,0,Personal Auto,Four-Door Car,476
SY56792,Oregon,M,High School or Below,703553,0,101,0,Corporate Auto,Four-Door Car,727
RF61565,California,M,College,263698,31911,67,0,Personal Auto,Four-Door Car,322
IM94808,Nevada,M,Bachelor,539583,70051,68,0,Corporate Auto,Four-Door Car,42
VI14730,Oregon,M,High School or Below,838263,19683,117,1,Personal Auto,Luxury,562
YR34119,Washington,F,College,3116175,30916,112,0,Personal Auto,SUV,200
RR77985,Oregon,F,Bachelor,288774,0,80,0,Personal Auto,Four-Door Car,677
QD28391,Washington,M,College,742585,84302,62,0,Personal Auto,Four-Door Car,77
WV17090,California,M,Bachelor,2558573,0,116,0,Corporate Auto,SUV,831
TM23514,Oregon,M,College,1027261,60145,132,0,Personal Auto,SUV,580
MQ68407,Oregon,F,Bachelor,437636,63774,111,0,Personal Auto,Four-Door Car,60
GJ59592,California,F,Bachelor,531890,25134,67,0,Corporate Auto,Four-Door Car,322
FY56083,Oregon,M,Bachelor,471976,37057,61,1,Personal Auto,Four-Door Car,48
UA94723,Oregon,F,High School or Below,442803,58577,110,0,Personal Auto,SUV,304
FW91032,California,M,High School or Below,587918,85857,73,0,Corporate Auto,Four-Door Car,101
DE34457,Oregon,F,Doctor,941691,70602,116,0,Personal Auto,SUV,481
HD32044,Oregon,F,Master,828816,33816,106,2,Corporate Auto,Four-Door Car,509
HH30454,Oregon,M,Bachelor,3265484,0,153,0,Personal Auto,SUV,1102
AH84063,Oregon,F,College,471945,89642,121,4,Corporate Auto,SUV,86
QA17596,California,F,Bachelor,390347,60068,98,0,Personal Auto,Two-Door Car,470
XI41052,California,F,Bachelor,545726,50044,139,0,Personal Auto,SUV,667
DI30528,California,F,Master,272536,36650,69,1,Personal Auto,Four-Door Car,57
SC66359,Arizona,F,College,443397,50653,110,0,Corporate Auto,SUV,263
EN61670,Arizona,F,Doctor,533246,68931,66,0,Personal Auto,Four-Door Car,310
DQ10761,Oregon,M,Bachelor,231510,0,73,1,Corporate Auto,Four-Door Car,350
BQ51587,California,F,College,541195,0,73,0,Personal Auto,Four-Door Car,365
JE21522,California,M,Bachelor,958733,39266,80,0,Personal Auto,Four-Door Car,384
WS47147,California,M,College,2210351,0,102,0,Personal Auto,SUV,490
ZA64638,Nevada,F,High School or Below,976495,0,98,1,Personal Auto,Four-Door Car,706
EW38459,Nevada,F,Bachelor,256715,40864,65,0,Corporate Auto,Four-Door Car,10
QW87316,Oregon,F,College,265062,39035,68,0,Personal Auto,Four-Door Car,245
IC43478,California,M,Bachelor,1126436,34923,98,0,Personal Auto,Two-Door Car,639
TE34064,California,M,High School or Below,216852,0,63,0,Personal Auto,Four-Door Car,454
